Country,Year,Emissions,Income
Belize,1964,0.818,2570
Belize,1965,0.795,2620
Belize,1966,0.738,2680
Belize,1967,1.07,2750
Belize,1968,0.885,2890
Belize,1969,1.14,2980
Belize,1970,0.99,3070
Belize,1971,1.15,3210
Belize,1972,1.24,3300
Belize,1973,1.13,3230
Benin,1963,0.0476,1670
Benin,1964,0.0553,1740
Benin,1965,0.0571,1790
Benin,1966,0.0424,1810
Benin,1967,0.0523,1790
Benin,1968,0.0552,1810
Benin,1969,0.0707,1820
Benin,1970,0.0969,1810
Benin,1971,0.0986,1810
Benin,1972,0.128,1930
Benin,1973,0.122,1970
Bolivia,1963,0.313,3230
Bolivia,1964,0.374,3320
Bolivia,1965,0.374,3420
Bolivia,1966,0.41,3590
Bolivia,1967,0.45,3740
Bolivia,1968,0.507,3980
Bolivia,1969,0.581,4080
Bolivia,1970,0.554,4200
Bolivia,1971,0.668,4270
Bolivia,1972,0.763,4400
Bolivia,1973,0.722,4610
Bosnia and Herzegovina,1963,1.84,3690
Bosnia and Herzegovina,1964,2.05,4030
Bosnia and Herzegovina,1965,2.07,4080
Bosnia and Herzegovina,1966,2.02,4270
Bosnia and Herzegovina,1967,2.02,4100
Bosnia and Herzegovina,1968,2.13,4160
Bosnia and Herzegovina,1969,2.19,4380
Bosnia and Herzegovina,1970,2.83,4420
Bosnia and Herzegovina,1971,3.01,4580
Bosnia and Herzegovina,1972,2.79,4650
Bosnia and Herzegovina,1973,3.29,4700
Brazil,1963,0.706,4280
Brazil,1964,0.7,4320
Brazil,1965,0.676,4310
Brazil,1966,0.75,4490
Brazil,1967,0.751,4570
Brazil,1968,0.856,4900
Brazil,1969,0.908,5250
Brazil,1970,0.984,5670
Brazil,1971,1.05,6170
Brazil,1972,1.14,6760
Brazil,1973,1.29,7550
Brunei,1963,3.8,74800
Brunei,1964,3.49,75600
Brunei,1965,3.26,76400
Brunei,1966,4.58,77300
Brunei,1967,3.91,78100
Brunei,1968,3.64,79000
Brunei,1969,3.95,79800
Brunei,1970,63.4,80700
Brunei,1971,55.4,84600
Brunei,1972,66.6,88800
Brunei,1973,67.2,92900
Bulgaria,1963,4.25,6460
Bulgaria,1964,5.25,6960
Bulgaria,1965,5.63,7380
Bulgaria,1966,5.89,7960
Bulgaria,1967,6.61,8390
Bulgaria,1968,7.08,8540
Bulgaria,1969,7.85,8940
Bulgaria,1970,7.2,9450
Bulgaria,1971,7.51,9770
Bulgaria,1972,7.68,10200
Bulgaria,1973,7.94,10700
Burkina Faso,1963,0.0175,657
Burkina Faso,1964,0.0216,665
Burkina Faso,1965,0.0198,651
Burkina Faso,1966,0.0195,644
Burkina Faso,1967,0.0192,694
Burkina Faso,1968,0.0189,718
Burkina Faso,1969,0.0219,722
Burkina Faso,1970,0.0254,726
Burkina Faso,1971,0.0263,712
Burkina Faso,1972,0.0277,858
Burkina Faso,1973,0.0284,800
Burundi,1963,0.0161,775
Burundi,1964,0.0158,798
Burundi,1965,0.0118,805
Burundi,1966,0.015,817
Burundi,1967,0.0146,869
Burundi,1968,0.0165,839
Burundi,1969,0.0215,810
Burundi,1970,0.0179,1010
Burundi,1971,0.0208,1010
Burundi,1972,0.0205,969
Burundi,1973,0.0203,1030
Cambodia,1963,0.0629,1320
Cambodia,1964,0.0539,1250
Cambodia,1965,0.0623,1270
Cambodia,1966,0.0712,1300
Cambodia,1967,0.0625,1330
Cambodia,1968,0.0724,1350
Cambodia,1969,0.196,1340
Cambodia,1970,0.168,1200
Cambodia,1971,0.0349,1140
Cambodia,1972,0.016,1070
Cambodia,1973,0.0172,1440
Cameroon,1963,0.0545,2670
Cameroon,1964,0.0598,2730
Cameroon,1965,0.054,2820
Cameroon,1966,0.0583,2910
Cameroon,1967,0.0757,2550
Cameroon,1968,0.0816,2690
Cameroon,1969,0.09,2740
Cameroon,1970,0.0979,2840
Cameroon,1971,0.121,2850
Cameroon,1972,0.125,2870
Cameroon,1973,0.127,2940
Canada,1963,11.1,17700
Canada,1964,12.3,18500
Canada,1965,12.8,19400
Canada,1966,13,20200
Canada,1967,13.9,20500
Canada,1968,14.7,21200
Canada,1969,14.6,22000
Canada,1970,16,22300
Canada,1971,16.2,23200
Canada,1972,17.3,24100
Canada,1973,17,25500
Cape Verde,1963,0.0677,1400
Cape Verde,1964,0.131,1420
Cape Verde,1965,0.111,1440
Cape Verde,1966,0.0922,1450
Cape Verde,1967,0.0741,1460
Cape Verde,1968,0.114,1470
Cape Verde,1969,0.139,1480
Cape Verde,1970,0.136,1480
Cape Verde,1971,0.135,1530
Cape Verde,1972,0.189,1540
Cape Verde,1973,0.23,1540
Central African Republic,1963,0.0464,1740
Central African Republic,1964,0.0456,1730
Central African Republic,1965,0.0537,1710
Central African Republic,1966,0.0504,1660
Central African Republic,1967,0.0537,1690
Central African Republic,1968,0.105,1670
Central African Republic,1969,0.105,1720
Central African Republic,1970,0.115,1760
Central African Republic,1971,0.0996,1670
Central African Republic,1972,0.0903,1600
Central African Republic,1973,0.0852,1640
Chad,1963,0.0288,1160
Chad,1964,0.0305,1120
Chad,1965,0.0321,1110
Chad,1966,0.025,1070
Chad,1967,0.0342,1070
Chad,1968,0.0356,1050
Chad,1969,0.0452,1100
Chad,1970,0.0342,1110
Chad,1971,0.0403,1110
Chad,1972,0.0317,1020
Chad,1973,0.0413,960
Chile,1963,2.01,8380
Chile,1964,1.99,8320
Chile,1965,1.98,8140
Chile,1966,2.05,8810
Chile,1967,2.07,8860
Chile,1968,2.24,8940
Chile,1969,2.34,9030
Chile,1970,2.52,8990
Chile,1971,2.72,9560
Chile,1972,2.79,9230
Chile,1973,2.69,8520
China,1963,0.628,1130
China,1964,0.616,1230
China,1965,0.656,1310
China,1966,0.703,1290
China,1967,0.567,1240
China,1968,0.597,1150
China,1969,0.715,1210
China,1970,0.931,1310
China,1971,1.03,1320
China,1972,1.07,1270
China,1973,1.09,1310
Colombia,1963,1.21,4780
Colombia,1964,1.19,4910
Colombia,1965,1.22,4920
Colombia,1966,1.22,5020
Colombia,1967,1.25,5070
Colombia,1968,1.3,5220
Colombia,1969,1.34,5400
Colombia,1970,1.32,5600
